0,mains,Uthappizza,A unique combination of Indian Uthappam (pancake) and Italian pizza,4.99,Hot
1,appetizer,Zucchipakoda,Deep fried Zucchini coated with mildly spiced Chickpea flour batter accompanied with a sweet-tangy tamarind sauce,1.99,
2,appetizer,Vadonut,A quintessential ConFusion experience is it a vada or is it a donut?,1.99,New
3,dessert,ElaiCheese Cake,A delectable semi-sweet New York Style Cheese Cake with Graham cracker crust and spiced with Indian cardamoms,2.99,
4,appetizer,Guntur chillies,Assorted chillies from Guntur,0.99,Spicy
5,appetizer,Buffalo Paneer,A special type of Paneer made from Buffalo milk,5.99,
6,clone,Cherry Tomatoes,clone of cherry and tomato,9.99,clone
7,weird,Goat Milk,Medicinal Goat Milk,1.99,weird
8,appetizer,Rose breasted Grosbeak chicken,Roasted rare bird,7.99,New
9,appetizer,Toenail Zingy,Cooked Toenails of various animals,0.99,weird
